,iMAP
iLISI,"{'mean': 0.381554065243069, 'std': 0.014019429904965462}"
GraphConn,"{'mean': 0.9779544657281921, 'std': 0.002834389118268446}"
ASW_batch,"{'mean': 0.8947952114092725, 'std': 0.005878608492329115}"
BatchScore,"{'mean': 0.6876778328717406, 'std': 0.01357346321355886}"
PCR,"{'mean': 0.496407589106429, 'std': 0.03946242713270166}"
ASW,"{'mean': 0.5384470336139202, 'std': 0.0026347962280754093}"
ARI,"{'mean': 0.5984699760263463, 'std': 0.017306375277885335}"
NMI,"{'mean': 0.7517207012439048, 'std': 0.008911245160583293}"
BioScore,"{'mean': 0.6295459036280572, 'std': 0.009299133353700252}"
