,scVI,iMAP
iLISI,"{'mean': 0.03448934473127894, 'std': 0.0026293577361150397}","{'mean': 0.22007783225367983, 'std': 0.0}"
GraphConn,"{'mean': 0.9445949527416181, 'std': 0.021830354380231128}","{'mean': 0.9012044135619857, 'std': 0.0}"
ASW_batch,"{'mean': 0.8213811860034216, 'std': 0.009860937758061678}","{'mean': 0.831551015129316, 'std': 0.0}"
BatchScore,"{'mean': 0.6693421640444032, 'std': 0.007278701802097646}","{'mean': 0.7236724174866166, 'std': 0.0}"
PCR,"{'mean': 0.8769031727012943, 'std': 0.009716707389822308}","{'mean': 0.9418564090014849, 'std': 0.0}"
ASW,"{'mean': 0.5746992155909538, 'std': 0.005145680407250363}","{'mean': 0.5946046113967896, 'std': 0.0}"
ARI,"{'mean': 0.28670608866265, 'std': 0.0013700625681677236}","{'mean': 0.299252724749615, 'std': 0.0}"
NMI,"{'mean': 0.5972358012346298, 'std': 0.0029783273169477283}","{'mean': 0.5563242136351789, 'std': 0.0}"
BioScore,"{'mean': 0.48621370182941115, 'std': 0.0018437217087430941}","{'mean': 0.48339384992719453, 'std': 0.0}"
