,Harmony,BBKNN,Scanorama,Combat
iLISI,0.5129261759918305,0.007200274402462996,0.28153273922343075,0.22148410283910583
GraphConn,0.9776895343322161,0.7823458761472485,0.7613213250492202,0.9873360550565357
ASW_batch,0.9361435767082628,0.8725037185649578,0.8650970465173996,0.9498478438150939
BatchScore,0.8316593755881911,0.4155124672786673,0.5492962212808961,0.789647960911128
PCR,0.8998782153204552,0.0,0.2892337743335336,0.9999238419337769
ASW,0.5559974915247454,0.5428603067994118,0.5513117678109943,0.552057184278965
ARI,0.7928486194730461,0.33754835992606314,0.49456778356493963,0.733727042950802
NMI,0.8179482131815226,0.6685641121776085,0.707426740627406,0.7809242228265698
BioScore,0.722264774726438,0.5163242596343611,0.58443543066778,0.6889028166854456
